Group,Question
Design Law for Gestalt Psychology Question List (28 Questions),Having related display elements in symmetrical position is more important than grouping related display elements that moves in the same way.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Ensuring that flight-related information is quickly interpreted by the pilot is more important than ensuring that variable's levels are properly understood by pilots.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Ensuring that flight-related information is quickly interpreted by the pilot is more important than having flight display developed from prior aircraft system design.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Ensuring that flight-related information is quickly interpreted by the pilot is more important than having multiple ways to display the same flight-related information.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Ensuring that flight-related information is quickly interpreted by the pilot is more important than ensuring that the flight display can be easily distinguishable.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Ensuring that variable's levels are properly understood by pilots is more important than having flight display developed from prior aircraft system design.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Ensuring that variable's levels are properly understood by pilots is more important than having multiple ways to display the same flight-related information.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Ensuring that variable's levels are properly understood by pilots is more important than ensuring that the flight display can be easily distinguishable.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Having flight display developed from prior aircraft system design is more important than having multiple ways to display the same flight-related information.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Having flight display developed from prior aircraft system design is more important than ensuring that the flight display can be easily distinguishable.
Design Law for Wickens Design Principles: Perceptual Principles Question List (10 Questions),Having multiple ways to display the same flight-related information is more important than ensuring that the flight display can be easily distinguishable.
Design Law for Wickens Design Principles: Mental Models Principles Question List (1 Question),Having display element that mimics the real-world aircraft component is more important than having display element that moves with the real-time aircraft state.
Design Law for Wickens Design Principles: Principles Based on Attention Question List (3 Questions),Placing display element that can be found quickly and easily is more important than placing display element close together in visual space.
Design Law for Wickens Design Principles: Principles Based on Attention Question List (3 Questions),Placing display element that can be found quickly and easily is more important than having multiple easy ways to display multiple flight-related information.
Design Law for Wickens Design Principles: Principles Based on Attention Question List (3 Questions),Placing display element close together in visual space is more important than having multiple easy ways to display multiple flight-related information.
Design Law for Wickens Design Principles: Memory Principles Question List (3 Questions),Having flight displays that anticipate pilot needs and provide flight-related information before its requested is more important than having important flight-related information readily available visually.
Design Law for Wickens Design Principles: Memory Principles Question List (3 Questions),Having flight displays that anticipate pilot needs and provide flight-related information before its requested is more important than using consistent design patterns.
Design Law for Wickens Design Principles: Memory Principles Question List (3 Questions),Having important flight-related information readily available visually is more important than using consistent design patterns.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying frequently needed flight-related information in the most accessible place is more important than having interface used in flight that is intuitive for pilot interaction.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying frequently needed flight-related information in the most accessible place is more important than displaying only important flight-related information.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying frequently needed flight-related information in the most accessible place is more important than displaying element that is easily visible.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying frequently needed flight-related information in the most accessible place is more important than having interface used in flight that is easy to reach.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying frequently needed flight-related information in the most accessible place is more important than having consistent design on interface used in flights.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying frequently needed flight-related information in the most accessible place is more important than creating interface used in flight that can be interacted with minimal cognitive effort.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying frequently needed flight-related information in the most accessible place is more important than physically arrange flight display that feels natural to pilots.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is intuitive for pilot interaction is more important than displaying only important flight-related information.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is intuitive for pilot interaction is more important than displaying element that is easily visible.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is intuitive for pilot interaction is more important than having interface used in flight that is easy to reach.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is intuitive for pilot interaction is more important than having consistent design on interface used in flights.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is intuitive for pilot interaction is more important than creating interface used in flight that can be interacted with minimal cognitive effort.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is intuitive for pilot interaction is more important than physically arrange flight display that feels natural to pilots.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying only important flight-related information is more important than displaying element that is easily visible.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying only important flight-related information is more important than having interface used in flight that is easy to reach.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying only important flight-related information is more important than having consistent design on interface used in flights.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying only important flight-related information is more important than creating interface used in flight that can be interacted with minimal cognitive effort.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying only important flight-related information is more important than physically arrange flight display that feels natural to pilots.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying element that is easily visible is more than having interface used in flight that is easy to reach.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying element that is easily visible is more than having consistent design on interface used in flights.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying element that is easily visible is more than creating interface used in flight that can be interacted with minimal cognitive effort.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Displaying element that is easily visible is more than physically arrange flight display that feels natural to pilots.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is easy to reach is more important than having consistent design on interface used in flights.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is easy to reach is more important than creating interface used in flight that can be interacted with minimal cognitive effort.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having interface used in flight that is easy to reach is more important than physically arrange flight display that feels natural to pilots.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having consistent design on interface used in flights is more important than creating interface used in flight that can be interacted with minimal cognitive effort.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Having consistent design on interface used in flights is more important than physically arrange flight display that feels natural to pilots.
Design Law for Ergonomic Design Consideration: Positioning of Components Question List (28 Questions),Creating interface used in flight that can be interacted with minimal cognitive effort is more important than physically arrange flight display that feels natural to pilots.
